127.0.0.1 - - [21/Oct/2021:19:12:19 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:12:20 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:12:20 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:12:20 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:10 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:10 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:10 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:10 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:10 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:10 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:11 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:11 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:11 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:20 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:20 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:20 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:21 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:21 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:21 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:48 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:48 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:48 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:58 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:58 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:13:58 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:14:27 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:14:27 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:14:27 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:14:45 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:14:45 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:14:45 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:14:45 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:14:45 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:14:45 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2021:19:14:46 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
