127.0.0.1 - - [04/Nov/2021:19:05:47 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:05:49 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:05:49 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:05:49 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:06:00 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5613
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:06:00 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1845
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:06:00 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:06:00 -0300] "GET /ProjetoIndividual/imgs/lixeira.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:06:00 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:06:00 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:06:00 -0300] "GET /ProjetoIndividual/imgs/lupa.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:06:00 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:06:01 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:06:29 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5608
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:06:30 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:12:41 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:12:41 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:12:41 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:12:41 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:12:41 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:12:41 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:12:42 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:12:42 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:17 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:17 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:17 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:17 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:17 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:17 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:17 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:17 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:18 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:18 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:18 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:18 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:18 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:18 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:18 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:18 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:19 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:19 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:19 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:19 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:19 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:19 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:19 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:19 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:19 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:19 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:19 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:19 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:20 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:20 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:20 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:20 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:20 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:20 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:40 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:40 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:40 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:40 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:40 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:40 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:40 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:40 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:40 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:41 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:41 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:41 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:41 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
