127.0.0.1 - - [14/Mar/2022:18:32:28 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:32:29 -0300] "GET /projetotrilhaseguranca/index.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:32:29 -0300] "GET /projetotrilhaseguranca/js/envia.js HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:32:35 -0300] "GET /projetotrilhaseguranca/index.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:32:35 -0300] "GET /projetotrilhaseguranca/js/envia.js HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:32:35 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:33:20 -0300] "GET /projetotrilhaseguranca/Acesso/principal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:33:20 -0300] "GET /projetotrilhaseguranca/erro.html HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:33:33 -0300] "POST /projetotrilhaseguranca/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:33:33 -0300] "GET /projetotrilhaseguranca/erro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:19:29:27 -0300] "GET /projetotrilhaseguranca/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:19:29:32 -0300] "GET /projetotrilhaseguranca/Acesso/principal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:08 -0300] "GET /projetotrilhaseguranca/Acesso/principal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:15 -0300] "POST /projetotrilhaseguranca/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:15 -0300] "GET /projetotrilhaseguranca/erro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:21 -0300] "POST /projetotrilhaseguranca/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:21 -0300] "GET /projetotrilhaseguranca/Acesso/principal.html HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:29 -0300] "GET /projetotrilhaseguranca/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:38 -0300] "GET /projetotrilhaseguranca/index.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:38 -0300] "GET /projetotrilhaseguranca/js/envia.js HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:38 -0300] "GET /projetotrilhaseguranca/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:38 -0300] "GET /projetotrilhaseguranca/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:38 -0300] "GET /projetotrilhaseguranca/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:38 -0300] "GET /projetotrilhaseguranca/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:41 -0300] "GET /projetotrilhaseguranca/Acesso/principal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:20:41 -0300] "GET /projetotrilhaseguranca/erro.html HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:32:07 -0300] "GET /projetotrilhaseguranca/Acesso/principal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:39:10 -0300] "GET /projetotrilhaseguranca/Acesso/principal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:39:18 -0300] "POST /projetotrilhaseguranca/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:39:18 -0300] "GET /projetotrilhaseguranca/erro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:42:59 -0300] "GET /projetotrilhaseguranca/Acesso/principal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:48:44 -0300] "GET /projetotrilhaseguranca/Acesso/principal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:20:59:50 -0300] "GET /projetotrilhaseguranca/Acesso/principal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:21:00:44 -0300] "GET /projetotrilhaseguranca/Acesso/principal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:21:00:52 -0300] "POST /projetotrilhaseguranca/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:21:00:52 -0300] "GET /projetotrilhaseguranca/erro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:21:01:00 -0300] "POST /projetotrilhaseguranca/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2022:21:01:00 -0300] "GET /projetotrilhaseguranca/Acesso/principal.html HTTP/1.1" 200 172
